Sl. No,Constituency,Member,Alliance
1,Manjeshwaram,M. C. Kamaruddin,UDF
2,Kasaragod,N. A. Nellikkunnu,UDF
3,Udma,K. Kunhiraman,LDF
4,Kanhangad,E. Chandrasekharan,LDF
5,Thrikaripur,M. Rajagopalan,LDF
6,Payyanur,C. Krishnan,LDF
7,Kalliasseri,T. V. Rajesh,LDF
8,Taliparamba,James Mathew,LDF
9,Irikkur,K. C. Joseph,UDF
10,Azhikode,K. M. Shaji,UDF
11,Kannur,Kadannappalli Ramachandran,LDF
12,Dharmadom,Pinarayi Vijayan,LDF
13,Thalassery,A. N. Shamseer,LDF
14,Kuthuparamba,K. K. Shailaja,LDF
15,Mattanur,E. P. Jayarajan,LDF
16,Peravoor,Sunny Joseph,UDF
17,Mananthavady (ST),O. R. Kelu,LDF
18,Sulthan Bathery (ST),I. C. Balakrishnan,UDF
19,Kalpetta,C. K. Saseendran,LDF
20,Vatakara,C. K. Nanu,LDF
21,Kuttiady,Parakkal Abdulla,UDF
22,Nadapuram,E. K. Vijayan,LDF
23,Koyilandy,K. Dasan,LDF
24,Perambra,T. P. Ramakrishnan,LDF
25,Balussery (SC),Purushan Kadalundy,LDF
26,Elathur,A. K. Saseendran,LDF
27,Kozhikode North,A. Pradeepkumar,LDF
28,Kozhikode South,M. K. Muneer,UDF
29,Beypore,V. K. C. Mammed Koya,LDF
30,Kunnamangalam,P. T. A. Rahim,LDF
31,Koduvally,Karat Razak,LDF
32,Thiruvambady,George M. Thomas,LDF
33,Kondotty,T. V. Ibrahim,UDF
34,Eranad,P. K. Basheer,UDF
35,Nilambur,P. V. Anvar,LDF
36,Wandoor (SC),A. P. Anil Kumar,UDF
37,Manjeri,M. Ummer,UDF
38,Perinthalmanna,Manjalamkuzhi Ali,UDF
39,Mankada,T. A. Ahmed Kabir,UDF
40,Malappuram,P. Ubaidulla,UDF
41,Vengara,K. N. A. Khader,UDF
42,Vallikkunnu,P. Abdul Hameed,UDF
43,Tirurangadi,P. K. Abdu Rabb,UDF
44,Tanur,V. Abdurahiman,LDF
45,Tirur,C. Mammutty,UDF
46,Kottakkal,K. K. Abid Hussain Thangal,UDF
47,Thavanur,K.T. Jaleel,LDF
48,Ponnani,P. Sreeramakrishnan,LDF
49,Thrithala,V. T. Balram,UDF
50,Pattambi,Muhammed Muhsin,LDF
51,Shornur,P. K. Sasi,LDF
52,Ottapalam,P. Unni,LDF
54,Mannarkkad,N. Samsudheen,UDF
55,Malampuzha,V. S. Achuthanandan,LDF
56,Palakkad,Shafi Parambil,UDF
57,Tarur (SC),A. K. Balan,LDF
58,Chittur,K. Krishnankutty,LDF
59,Nenmara,K. Babu,LDF
60,Alathur,K. D. Prasenan,LDF
61,Chelakkara (SC),U. R. Pradeep,LDF
62,Kunnamkulam,A. C. Moideen,LDF
63,Guruvayur,K. V. Abdul Khader,LDF
64,Manalur,Murali Perunelli,LDF
65,Wadakkanchery,Anil Akkara,UDF
66,Ollur,K. Rajan,LDF
67,Thrissur,V. S. Sunil Kumar,LDF
68,Nattika (SC),Geetha Gopi,LDF
69,Kaipamangalam,E. T. Tyson,LDF
70,Irinjalakuda,K. U. Arunan,LDF
71,Puthukkad,C. Raveendranath,LDF
72,Chalakudy,B. D. Devassy,LDF
73,Kodungallur,V. R. Sunil Kumar,LDF
74,Perumbavoor,Eldhose Kunnappilly,UDF
75,Angamaly,Roji M. John,UDF
76,Aluva,Anwar Sadath,UDF
77,Kalamassery,V. K. Ebrahimkunju,UDF
78,Paravur,V. D. Satheesan,UDF
79,Vypin,S. Sharma,LDF
80,Kochi,K. J. Maxi,LDF
81,Thrippunithura,M. Swaraj,LDF
82,Ernakulam,T. J. Vinod,UDF
83,Thrikkakara,P. T. Thomas,UDF
84,Kunnathunad (SC),V.P. Sajeendran,UDF
85,Piravom,Anoop Jacob,UDF
86,Muvattupuzha,Eldo Abraham,LDF
87,Kothamangalam,Antony John,LDF
88,Devikulam,S. Rajendran,LDF
89,Udumbanchola,M. M. Mani,LDF
91,Idukki,Roshy Augustine,LDF
92,Peerumade,E. S. Bijimol,LDF
93,Pala,Mani C. Kappan,UDF
95,Vaikom (SC),C. K. Asha,LDF
96,Ettumanoor,K. Suresh Kurup,LDF
97,Kottayam,Thiruvanchoor Radhakrishnan,UDF
98,Puthuppally,Oommen Chandy,UDF
100,Kanjirappally,N. Jayaraj,LDF
102,Aroor,Shanimol Usman,UDF
103,Cherthala,P. Thilothaman,LDF
104,Alappuzha,T. M. Thomas Isaac,LDF
105,Ambalappuzha,G. Sudhakaran,LDF
107,Haripad,Ramesh Chennithala,UDF
108,Kayamkulam,Prathiba Hari,LDF
109,Mavelikara,R. Rajesh,LDF
110,Chengannur,Saji Cherian,LDF
111,Thiruvalla,Mathew T. Thomas,LDF
112,Ranni,Raju Abraham,LDF
113,Aranmula,Veena George,LDF
114,Konni,K. U. Jenish Kumar,LDF
115,Adoor,Chittayam Gopakumar,LDF
116,Karunagapally,R. Ramachandran,LDF
118,Kunnathur,Kovoor Kunjumon,LDF
119,Kottarakkara,P. Aisha Potty,LDF
120,Pathanapuram,K. B. Ganesh Kumar,LDF
121,Punalur,K. Raju,LDF
122,Chadayamangalam,Mullakara Ratnakaran,LDF
123,Kundara,J. Mercykutty Amma,LDF
124,Kollam,M. Mukesh,LDF
125,Eravipuram,M. Noushad,LDF
126,Chathannoor,G.S. Jayalal,LDF
127,Varkala,V. Joy,LDF
128,Attingal,B. Satyan,LDF
129,Chirayinkeezhu,V. Sasi,LDF
130,Nedumangad,C. Divakaran,LDF
131,Vamanapuram,D. K. Murali,LDF
132,Kazhakootam,Kadakampally Surendran,LDF
133,Vattiyoorkavu,V. K. Prasanth,LDF
134,Thiruvananthapuram,V. S. Sivakumar,UDF
135,Nemom,O. Rajagopal,NDA
136,Aruvikkara,K. S. Sabarinathan,UDF
137,Parassala,C. K. Hareendran,LDF
138,Kattakkada,I. B. Sathish,LDF
139,Kovalam,M. Vincent,UDF
140,Neyyattinkara,K. A. Ansalan,LDF
